longitude,latitude
30.534875,50.441688
30.534702,50.441545
30.534474,50.441445
30.534218,50.441369
30.533959,50.441296
30.5337,50.441226
30.533439,50.441157
30.533178,50.441087
30.532917,50.441018
30.532661,50.440943
30.532406,50.44087
30.532145,50.440803
30.531883,50.440735
30.531621,50.440667
30.53136,50.4406
30.531098,50.440532
30.530836,50.440465
30.530563,50.44044
30.530332,50.440541
30.530107,50.44065
30.529883,50.440759
30.529659,50.440869
30.529435,50.440978
30.529212,50.441088
30.528988,50.441198
30.528764,50.441308
30.528556,50.441311
30.528366,50.441178
30.528178,50.441044
30.527991,50.440909
30.527804,50.440775
30.527616,50.44064
30.527429,50.440505
30.527229,50.44048
30.527007,50.440591
30.52679,50.440706
30.526571,50.44082
30.526349,50.440931
30.526138,50.44105
30.525941,50.441179
30.525778,50.441326
30.52562,50.441475
30.525489,50.441633
30.525386,50.4418
30.52529,50.441969
30.525194,50.442139
30.525099,50.442308
30.525003,50.442477
30.524851,50.442618
30.524571,50.442606
30.524291,50.442582
30.524012,50.442556
30.523732,50.442534
30.52345,50.44252
30.523179,50.44252
30.52291,50.442469
30.522631,50.442443
30.52235,50.44243
30.522186,50.442554
30.521991,50.442682
30.521729,50.442742
30.521454,50.442783
30.521177,50.442818
30.520922,50.442787
30.520683,50.442691
30.52046,50.44258
30.520202,50.442507
30.519928,50.44251
30.519655,50.442554
30.519381,50.442598
30.519107,50.442643
30.518833,50.442687
30.51856,50.442731
30.518286,50.442775
30.518012,50.442819
30.517739,50.442864
30.517465,50.442909
30.517192,50.442953
30.516919,50.442999
30.516644,50.44304
30.516369,50.443081
30.516094,50.443123
30.51582,50.443166
30.515546,50.443209
30.51527,50.443249
30.514999,50.443288
30.514953,50.44311
30.514894,50.442935
30.514823,50.442761
30.514752,50.442587
30.514679,50.442413
30.514609,50.442239
30.514543,50.442064
30.514471,50.44189
30.5144,50.441716
30.514331,50.441541
30.514267,50.441366
30.514195,50.441193
30.514123,50.441019
30.514047,50.440845
30.513969,50.440673
30.513897,50.440499
30.513828,50.440324
30.513758,50.44015
30.513639,50.439989
30.513532,50.439824
30.51353,50.439644
30.51353,50.439464
30.51353,50.439284
30.51353,50.439105
30.51353,50.438925
30.51353,50.438745
30.51353,50.438565
30.51353,50.438385
30.51353,50.438205
30.51353,50.438025
30.51353,50.437846
30.51353,50.437666
30.51353,50.437486
30.51353,50.437306
30.51353,50.437126
30.51353,50.436946
30.51353,50.436766
30.513528,50.436586
30.513525,50.436407
30.513522,50.436227
30.513564,50.436052
30.51362,50.435879
30.513615,50.435699
30.51361,50.435519
30.51361,50.435339
30.51361,50.435159
30.51361,50.434979
30.51361,50.4348
30.51361,50.43462
30.513605,50.43444
30.513597,50.43426
30.51359,50.43408
30.51359,50.4339
30.513587,50.433721
30.513584,50.433541
30.513581,50.433361
30.51358,50.433181
30.513573,50.433001
30.513569,50.432821
30.513567,50.432641
30.513564,50.432462
30.513562,50.432282
30.51356,50.432102
30.51356,50.431922
30.51356,50.431742
30.51356,50.431562
30.513559,50.431382
30.513557,50.431203
30.513554,50.431023
30.513551,50.430843
30.513547,50.430663
30.513542,50.430483
30.513537,50.430303
30.513532,50.430124
30.513537,50.429944
30.51356,50.429765
30.513562,50.429585
30.513568,50.429405
30.513574,50.429225
30.513579,50.429045
30.513585,50.428866
30.513591,50.428686
30.513596,50.428506
30.513602,50.428326
30.513608,50.428146
30.51363,50.427967
30.513677,50.427792
30.513777,50.427623
30.513879,50.427456
30.513982,50.427288
30.514084,50.42712
30.514189,50.426954
30.514295,50.426787
30.514401,50.42662
30.514504,50.426453
30.514609,50.426286
30.514713,50.426118
30.514816,50.425951
30.514919,50.425784
30.515023,50.425616
30.515128,50.425449
30.515232,50.425282
30.515337,50.425115
30.515441,50.424948
30.515546,50.424781
30.515646,50.424613
30.515758,50.424448
30.515866,50.424282
30.515974,50.424116
30.516081,50.423949
30.516188,50.423782
30.516294,50.423616
30.516402,50.42345
30.516509,50.423283
30.516615,50.423117
30.516721,50.42295
30.516828,50.422783
30.516934,50.422617
30.517043,50.422451
30.51715,50.422284
30.517258,50.422118
30.517365,50.421952
30.517473,50.421786
30.517581,50.421619
30.517689,50.421453
30.517797,50.421287
30.517907,50.421121
30.51802,50.420957
30.518134,50.420792
30.518244,50.420626
30.518343,50.420458
30.51845,50.420292
30.518554,50.420124
30.518657,50.419957
30.51876,50.419789
30.518863,50.419622
30.518966,50.419454
30.51907,50.419287
30.519175,50.41912
30.519281,50.418954
30.519386,50.418787
30.519488,50.418619
30.519597,50.418453
30.519702,50.418286
30.519807,50.41812
30.519913,50.417953
30.520019,50.417786
30.520125,50.417619
30.520231,50.417453
30.520334,50.417285
30.520437,50.417118
30.520541,50.41695
30.520644,50.416783
30.520747,50.416615
30.52086,50.416451
30.520964,50.416284
30.521069,50.416117
30.521176,50.41595
30.521284,50.415784
30.521393,50.415618
30.521502,50.415452
30.521613,50.415287
30.521724,50.415121
30.521835,50.414956
30.521946,50.414791
30.522054,50.414624
30.522163,50.414459
30.522266,50.414291
30.52237,50.414124
30.522477,50.413958
30.522612,50.4138
30.522769,50.413651
30.522729,50.413526
30.522512,50.413412
30.522294,50.413297
30.522076,50.413183
30.521857,50.413069
30.521639,50.412955
30.521696,50.412841
30.521672,50.412973
30.521891,50.413087
30.522109,50.413201
30.522327,50.413315
30.522545,50.413429
30.522763,50.413544
30.522955,50.413506
30.523131,50.413365
30.523392,50.41331
30.523666,50.413336
30.523907,50.413429
30.524148,50.413523
30.524388,50.413617
30.524624,50.413715
30.524776,50.413863
30.524851,50.414036
30.524803,50.414207
30.524707,50.414376
30.524608,50.414545
30.524509,50.414713
30.524409,50.414881
30.524306,50.415049
30.524203,50.415216
30.524097,50.415383
30.523997,50.41555
30.523891,50.415717
30.523784,50.415884
30.523678,50.41605
30.523574,50.416217
30.523471,50.416385
30.523364,50.416551
30.523259,50.416718
30.523156,50.416886
30.523056,50.417054
30.52295,50.417221
30.522843,50.417387
30.522735,50.417553
30.522628,50.41772
30.522521,50.417886
30.522413,50.418052
30.522306,50.418219
30.522198,50.418385
30.522091,50.418551
30.521984,50.418718
30.521877,50.418884
30.52177,50.41905
30.521669,50.419218
30.521563,50.419385
30.521458,50.419552
30.521353,50.419719
30.521248,50.419886
30.521142,50.420053
30.521036,50.420219
30.520929,50.420386
30.520823,50.420553
30.520718,50.420719
30.520612,50.420886
30.520506,50.421053
30.520402,50.42122
30.520296,50.421387
30.520189,50.421553
30.520083,50.42172
30.519976,50.421886
30.51987,50.422053
30.519763,50.42222
30.519657,50.422386
30.51955,50.422553
30.519444,50.422719
30.519337,50.422886
30.51923,50.423052
30.519126,50.42322
30.519023,50.423387
30.51892,50.423554
30.518816,50.423722
30.518712,50.423889
30.518605,50.424055
30.518497,50.424222
30.518391,50.424388
30.518287,50.424555
30.518181,50.424722
30.518075,50.424889
30.517969,50.425056
30.517862,50.425222
30.517757,50.425389
30.517653,50.425556
30.517553,50.425724
30.517454,50.425893
30.51735,50.42606
30.517246,50.426227
30.517141,50.426394
30.517037,50.426561
30.516932,50.426728
30.516828,50.426895
30.516722,50.427062
30.516619,50.42723
30.516517,50.427397
30.516415,50.427565
30.516309,50.427732
30.516202,50.427898
30.516111,50.428068
30.51609,50.428247
30.51609,50.428427
30.51609,50.428607
30.51609,50.428787
30.516081,50.428967
30.51608,50.429147
30.516079,50.429326
30.516075,50.429506
30.516072,50.429686
30.516064,50.429866
30.51606,50.430046
30.516064,50.430226
